gene_id	gene_name	Sham_oxy_1	Sham_oxy_2	Sham_oxy_3	Sham_oxy_4	Sham_Sal_1	Sham_Sal_2	Sham_Sal_3	Sham_Sal_4	SNI_oxy_1	SNI_oxy_2	SNI_oxy_3	SNI_oxy_4	SNI_Sal_1	SNI_Sal_2	SNI_Sal_3	SNI_Sal_4
ENSMUSG00000018209	Stk4	81	381	266	453	293	668	591	498	432	523	438	352	415	54	273.001	99
ENSMUSG00000018211	Wfdc15b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018217	Pmp22	25	93	74	100	69.001	245	249	116	95	69	152	101	168	28	94	35
ENSMUSG00000018238	Gdf9	2	1	5	2	1	9	11	0	6	8	3	1	3	0	10	2
ENSMUSG00000018239	Zcchc10	10	22	20	34	21	33	35	20	28	25	35	17	18	4	30	7
ENSMUSG00000018259	Prl8a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018263	Tbx5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018286	Psmb6	85.999	410.001	368.001	617	365.001	962	962.001	605	657	695	770	370	912	86	291	175.001
ENSMUSG00000018287	Spag7	34	144.999	102	184	120	351	412	297	252	170.999	202	131	237	29	146	33
ENSMUSG00000018293	Pfn1	86	315	254	401.999	287	860	927	598	646	421.001	529	299	491	75	293	81
ENSMUSG00000018322	Tomm34	98	437	284	518	409.999	858.001	1035.001	546	631	556	486.999	388	714	88	392	113
ENSMUSG00000018326	Ywhab	882	2817	2120	2672	2287	3788	4032	2812	2682	3589	3695	2378	3571	373	2630	814
ENSMUSG00000018334	Ksr1	128	309	197	334	206	452	515	403	388	400	325	301	414	63	386	71
ENSMUSG00000018339	Gpx3	10	14	29	10	67	29	117	0	22	25	29	6	19	0	16	11
ENSMUSG00000018340	Anxa6	196	472	364	875.999	422	1311	1013.999	983	785	841	944	580	1243	131	518	141
ENSMUSG00000018341	Il12rb2	1	0	0	2	0	1	0	5	1	0	0	4	2	20	0	15
ENSMUSG00000018347	Zkscan6	23	65	83	150	67	194	235	151	136	150	109	97	133	15	92	20
ENSMUSG00000018362	Kpna2	50.9	178.284	114	235.286	105	336.17	312.551	203.541	225.888	295.306	183.376	142.932	335.318	30	131.781	45.049
ENSMUSG00000018363	Smurf2	151.001	463.001	402	602	491.001	869	763.999	595	626	886	718	531	750	67	430	126
ENSMUSG00000018372	Cep95	30.999	65	56.999	101	71	166	162.999	141	115	127.001	83	83	131	24	59	17
ENSMUSG00000018377	Vezf1	140	313	207	422	308	586	643	340	408	530	557	301	404	76	341	73
ENSMUSG00000018378	Cuedc1	59.999	99.999	100	94	84	159	280	132	126.999	102	121	102	118	15	100.999	21
ENSMUSG00000018379	Srsf1	342	1510.998	1054	2085.999	1274.999	3482.999	3027	2023	2032	2610.001	2069	1479.001	2587	435.999	1192	318.998
ENSMUSG00000018381	Abi3	8	28	14	24	21	51.999	37	33	28	31	18	26	47	1.624	29	13.648
ENSMUSG00000018387	Shroom1	12	51	32	48	46	108	68	84	64	64	114	32	80	6	42	15
ENSMUSG00000018395	Kif3a	178	670	502	804	647	1355.001	1726.001	940.999	763	767	1045.001	655.999	1069	111	585.001	215
ENSMUSG00000018398	Sept8	421	1147	906.001	1896	1067.999	2586.999	2949	1724	1556	1535.999	1643	1116	1656	257	1170	306
ENSMUSG00000018401	Mtmr4	376	1117	780	1456.999	694	1836	1834	1354.999	1290	1542	1454.001	908	1534	178	996	228
ENSMUSG00000018405	Mrm1	10	64	44	72	42	121	122	79	48	67	72	50	83	16	43	19
ENSMUSG00000018411	Mapt	764.001	2332.999	1603	3249	2434.001	4901.001	6112	3142.001	2646.999	3118	3615	2083.999	3584.001	492.999	1991	537.999
ENSMUSG00000018412	Kansl1	304.001	853	536	802.001	648	1195	1380.001	960	923	987.001	986.864	820	1071.001	90.999	757.999	210.137
ENSMUSG00000018415	Gid4	141	461	373	667	404	928	929	612	549	611	576	549	662	71	424	98
ENSMUSG00000018417	Myo1b	179	559.999	482.001	763.999	410	1726.999	875	965.001	716	919	849.999	866.001	1365	136	552.001	162.001
ENSMUSG00000018425	Dhx40	113	407	248	645	294	629	674	537	521	699	474	415	605	40	310	124
ENSMUSG00000018427	Ypel2	431	1217	709	1407	647	1971	1269	1523	1290	1512	1693	1198	1469	205	1070	194
ENSMUSG00000018428	Akap1	124	449	319	573.001	338	843	784	678	576	665	525	408	765	64	399	94
ENSMUSG00000018433	Nol11	82	298	170	324	194	554	550	363.999	401	375.001	331	234	373	63.943	221	64
ENSMUSG00000018442	Derl2	78	206	133	294.001	187	419	360	316	268	317	309	212	328	36	183	37.819
ENSMUSG00000018446	C1qbp	58	205.999	139	207	182	368	435	310	304	255.999	285	194	257	25	219	59
ENSMUSG00000018449	Rpain	17.999	52	46	109.999	73.999	122	95.999	81.999	107	93	81	39.999	79	9	52	14
ENSMUSG00000018451	6330403K07Rik	353	1784	1186	1941	2346	3137	5458	2444	2472	2554	2196	1190	2296	235	1202	321
ENSMUSG00000018459	Slc13a3	18	66	33	64	61	132	136	158	75	97	88	66	140	12	58.999	9
ENSMUSG00000018470	Kcnab3	12	38	39	80	63	186	99	101	85	56	84	52	123	24	71	27
ENSMUSG00000018474	Chd3	901	3475	2677	3733	3340.001	6968.998	9270.999	5489.999	4020	3757.001	4428.999	2999	5775.999	607.594	3093	752.464
ENSMUSG00000018476	Kdm6b	135	160	100	118	125	101	156	84	138	114	102	169	39	11	185	21.854
ENSMUSG00000018479	1700125H20Rik	0	0	0	0	2	4	1	1	1	0	0	3	2	1	0	0
ENSMUSG00000018481	Appbp2	314	1025	810	1192	818	1695	1971	1138	1163	1154	1084	905	1130	167	859	189
ENSMUSG00000018486	Wnt9b	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000018500	Adora2b	6	14	7	12	14	39	23	15	11	17	18	25	7	4	14	4
ENSMUSG00000018501	Ncor1	608.999	2019.001	1397.001	2123.999	1603	3466.998	3402	2622	2260	2669.991	2509.001	1987.001	3304.002	393	2076.997	562
ENSMUSG00000018507	Trpv2	31	73	60.999	115	53	128	184	94	86.001	110	71	61	131.001	16	64.001	13
ENSMUSG00000018509	Cenpv	41	90	50	144	132	150.999	178	127	150	128	83	83	147	13	70	12
ENSMUSG00000018537	Pcgf2	51.001	91	49	65	109	93.001	125	64	90.001	97	73	97	107	9	110	27
ENSMUSG00000018541	Cwc25	28	76	71	122	88.001	186	195.001	165	106.999	139	106	90.001	149	18	96	19
ENSMUSG00000018543	1700001P01Rik	0	1	1	0	4	0	0	0	0	1	0	4	0	0	0	0
ENSMUSG00000018547	Pip4k2b	256.252	885	667	1117	791	2024	1937	1422	1193	1184	1210	932	1555	147.16	794	207
ENSMUSG00000018548	Trim37	665	2296.999	1837	2941.001	1658	4971	3942.999	3101.999	2731.999	3342.001	3177	2231	4088	438	2041	701.999
ENSMUSG00000018554	Ybx2	0	3	2	2	4	7	10	3	7	1	8	0	0	2	5	1
ENSMUSG00000018559	Ctdnep1	90	190	161	221	173.999	256.999	267	179	215	229	195	254	220.001	23	218	64
ENSMUSG00000018565	Elp5	79	191.999	168.999	364.999	195	461.998	497	312.999	319	336.001	299	144	407.001	53	199	69
ENSMUSG00000018566	Slc2a4	5	12	11	14	7	20	26	21	9	25	14	13	9	0	15	2
ENSMUSG00000018567	Gabarap	142	496	357	693	395	1236	1233.999	745	844	972	948	446.001	993	89	365	150
ENSMUSG00000018569	Cldn7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018570	2810408A11Rik	0	6	2	4	0	5	10	1	0	5	1	5	4	0	0	1
ENSMUSG00000018572	Phf23	60	137	106.001	173	100.001	385.001	380	275.999	260	242.001	324.001	169	257	34	148	38
ENSMUSG00000018574	Acadvl	52	215.999	199	365	213	564.999	745.001	334	345.001	406	393	223	384	34.332	214.001	74.727
ENSMUSG00000018581	Dnah11	2	12	8	3	43	22	79	12	34	43	25	38	79	2.224	9	7
ENSMUSG00000018583	G3bp1	161	592.995	477.947	844.951	596.973	1239.818	1587.989	806.979	878.918	877.99	788.927	587.941	918	73	507.947	138
ENSMUSG00000018585	Atox1	38	91	88	161	70	239	230	158	172	149	151	78	156	20	94	24
ENSMUSG00000018589	Glra2	30	148	127	200	251	268	674	143	126	145	225	99	163	29	106	38
ENSMUSG00000018593	Sparc	284.999	920	1102	1284	1498	2011.999	4052	1322	1374	1082	1578	632.999	1106	139	645	142
ENSMUSG00000018595	Glra4	0	5	1	0	10	8	11	0	3	1	4	0	8	0	0	0
ENSMUSG00000018599	Mief2	28	75	65	98	60	159	272	145	100	90	118	42	183	6	65	17
ENSMUSG00000018604	Tbx3	7	18	10	8	5	22	11	19	16	11	13	18	8	1	18	2
ENSMUSG00000018620	Mmp20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018623	Mmp7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018634	Crhr1	11	59	48	100	41	136	78	69	54	65	51	31	91	8	29	14
ENSMUSG00000018648	Dusp14	54	213.001	171	355	107	398	351	380.001	283	344	240	190.999	370	34	151.999	66
ENSMUSG00000018651	Tada2a	66.001	199	118	213	201	250	328	228	219	204	227	170	263	27	161	42
ENSMUSG00000018654	Ikzf1	20	31	22	35	46	47	64	39	29	39	51	50	47	10	42	10
ENSMUSG00000018656	Tcaf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018659	Pnpo	95	300	254	381	298	693	596	395	437	456	473	225	398.999	60	272	113
ENSMUSG00000018661	Cog1	90.001	276	229	409.001	305.999	640.001	643.999	523	433.999	430.001	281	292	478	56.416	315	82.382
ENSMUSG00000018666	Cbx1	80	198	126	256	150	416.001	501.001	274	305	289	349	182	361.001	33.001	186	47
ENSMUSG00000018669	Cdk5rap3	47	142	125	176	147.001	237.999	255.001	190	239.001	185.999	182	132	183	17	117.999	29
ENSMUSG00000018672	Copz2	5	16	7	18	7	30	33	9	27	23	26	13	11	0	15	2
ENSMUSG00000018677	Slc25a39	48	178.999	166.001	247	185	447	531	313	305.001	307	365	150	393.001	32	172	58
ENSMUSG00000018678	Sp2	23	68	33	28	48	74	70	65	59	56	36	56	33	4	73	20
ENSMUSG00000018697	Aatf	27.001	114	79	151	107	172	196.001	144.999	115	150	138	110.001	157	15	85.999	33
ENSMUSG00000018698	Lhx1	1	0	0	13	0	0	1	0	2	0	5	0	0	0	0	0
ENSMUSG00000018707	Dync1h1	3077.999	10207	8142.001	12816	8526	17223.001	19449	12064.001	10908.998	12665	12954	9608.999	16241	1767.999	9604	2458
ENSMUSG00000018727	Cpsf4l	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	3
ENSMUSG00000018733	Pex12	6	50	41	50	34	107	100	87	57	38	48	57	48	6	33	16
ENSMUSG00000018736	Ndel1	159	504	343	755	447	1132	1034.999	732.999	707	987	902	469.001	1096	115	392	143.999
ENSMUSG00000018740	Slc25a35	13	32	9	12	26	27	20	16	27	23	45	44	9	9.03	30	7.654
ENSMUSG00000018750	Zbtb4	328	862	721	1260.999	789.999	1981	1745	1322	1137.999	1437.001	1636.999	949	1498	165	1049	262
ENSMUSG00000018752	Tnfsfm13	4.87	3.731	16.999	40.992	0	18.934	18.396	28.652	24.511	31.048	18.248	19.286	0	0	4.695	0
ENSMUSG00000018761	Mpdu1	27	151	81.001	163.999	114	326	356.001	239	250	238.001	208	144	224	32	83	34
ENSMUSG00000018765	Fxr2	136.999	521.999	463.999	769	598	1525	1624	1047	767.001	993.999	1076	520.001	1238.001	100	478	134
ENSMUSG00000018770	Atp5g3	215	710.999	558.001	1058	589	1721	1547	1131.999	1181	922.001	959.001	642	1074	150	562.001	226.999
ENSMUSG00000018774	Cd68	18	65	40	82	40	134	135	99	110.001	116	75	50	62	8	50	9
ENSMUSG00000018776	Slc35g3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000018796	Acsl1	148	503	364.999	714	476	1035.001	989	659.001	631.001	746	669	518.999	712	77	414.001	103
ENSMUSG00000018800	Abca5	246	758	564.001	1042	464.001	1145	1048.001	670.999	726.999	915	860	678.999	856	125	639.001	186
ENSMUSG00000018809	Smyd4	38	99	73	150	93	184	225	143	165	124	130	97	143	15	86	18.999
ENSMUSG00000018819	Lsp1	4	9	2	8	5	26.001	37	15.999	11	12	18	10	10	4	26	2
ENSMUSG00000018820	Zfyve27	124.001	519.001	393.001	633	411	933	1152.999	711.999	645	620	521.001	487	652.001	84	434.001	129
ENSMUSG00000018821	Avpi1	16	102	57	125	101	231	168	131	170	153	222	97	180	10	75	24
ENSMUSG00000018822	Sfrp5	6	8	14	9	0	24	17	7	14	6	7	3	11	0	4	0
ENSMUSG00000018830	Myh11	9	38	33	77	46	101	131	105	67	44	76	71	98	0	30.01	11
ENSMUSG00000018841	Rad51d	23	121	98.001	122	89.999	247.999	234	149	168	181.999	147	112	177.001	30	118	19
ENSMUSG00000018844	Fndc8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000018845	Unc45b	3	4	3	5	0	8	3	8	7	2	3	4	11	0	9	0
ENSMUSG00000018846	Pank3	292.263	994	709	1175	573	1878	1329	995	1015	1443	1160	888	1272	168	820	192
ENSMUSG00000018848	Rars	61	241	244	370	228	540	602	340	346.999	361	369	194	440	38	211	125
ENSMUSG00000018849	Wwc1	151	425	304	419	353	749.001	887	686	485	538	492	498	641	74	470	88
ENSMUSG00000018858	Ict1	43	149.001	107.999	176.001	127.001	262	361	176.001	211	199.001	229	117	239	32	116.999	54
ENSMUSG00000018861	Fdxr	13	64	46	75	57	94	160	73	57.999	66.001	76	40.001	93	6	54	10
ENSMUSG00000018862	Otop3	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000018865	Sult4a1	347	995	968	1780	864	2625	2496	1821	1695	1865	1892	973	2141	180	1113	290
ENSMUSG00000018868	Pnpla5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018882	Mrpl45	60	182	134	268	87	411	459	324	257	281	374	191	255	43	169	43
ENSMUSG00000018893	Mb	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000018899	Irf1	11	26	18	25	42	63	83	39	38.999	32	71	39	64	1	20	5
ENSMUSG00000018900	Slc22a5	22	108.795	66.528	155.796	120.644	162.148	241.476	105.445	113.174	155.598	162.959	104.23	105.794	6	99.236	19
ENSMUSG00000018906	P4ha2	18	68.001	44	58.001	83	98	135	93	84.001	98	90	64.001	55.999	9	78	15
ENSMUSG00000018907	Alox12e	0	0	0	0	3	0	13	0	0	1	0	2	0	2	0	0
ENSMUSG00000018909	Arrb1	884.001	2828	2106	3778	2119	5452.001	5499	4197	3171	3861.001	3609	2983	4464	470.526	2794	519
ENSMUSG00000018914	Il3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018916	Csf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018919	Tm4sf5	0	1	0	0	0	1	5	0	5	4	0	2	0	0	1	1
ENSMUSG00000018920	Cxcl16	1	2	3	6	4	10	4	6	1	9	7	3	11	0	0	2
ENSMUSG00000018921	Pelp1	64	130	108	127	120	247	340	225	205	149	129	148	168	25	156	44
ENSMUSG00000018923	Med11	6	27	26	67	21	72	85	76	53	55	60	24	46	2	25	6
ENSMUSG00000018924	Alox15	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000018925	Heatr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000018927	Ccl6	3	3	6	4	16	23	24	12	8	12	24	8	28	0	8	1
ENSMUSG00000018930	Ccl4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018931	Natd1	37	109	63	99	86	148	151	98	98	112	87	66	117	11	77	20
ENSMUSG00000018932	Map2k3	20	50	34	58	34	74	88	44	63	46	50	47	50	11	56	10
ENSMUSG00000018965	Ywhah	707	2036.602	1483.961	3401.778	1705.935	3986.824	4248.947	2857	2691.769	2593.918	2761	1540.911	2551	339	1651.325	793.942
ENSMUSG00000018973	Hoxb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018974	Sart3	104	269.999	236.001	281	253	570	637	400.999	363.999	329	376	262.001	443.999	60	231	73
ENSMUSG00000018983	E2f2	0	6	2	2	14	4	5	14	9	4	13	3	11	0	3	0
ENSMUSG00000018986	Slfn3	0	1	1	3	12	2	1	0	2	4	0	4	2	0	2	0
ENSMUSG00000018995	Nars2	38	193.999	110	316	119	320.001	239.999	223	219	259	204	216.001	190	34	182	41.162
ENSMUSG00000018999	Slc35b4	218	750	531	699.001	538	1188.001	1197	854	808	952	822.999	797.001	1072.999	87.866	673	143
ENSMUSG00000019027	Dnah1	36	165	130	234	243	295	477	241	250	250	164	148	213	14	112	42
ENSMUSG00000019039	Dalrd3	88	228	212.999	401	287	652	894	520.999	512	403	318	256	333.999	56.048	241	88.548
ENSMUSG00000019054	Fis1	141.999	534	417	792	429	1121	1274.999	734	852	949	896	490	995	69	425	167.001
ENSMUSG00000019055	Plod1	32	106	103	121	97	248	321.999	164.999	132	137	188	125	224	17	96	37
ENSMUSG00000019066	Rab3d	14	44	35	64	24	99	102	61	34	40	35	33	64	8	40	11
ENSMUSG00000019080	Mfsd3	8	38	31	30	34	62	76	54	42	45	25	23	61	2	20	9
ENSMUSG00000019082	Slc25a22	201	464.001	412	671.999	456	1030.001	1305.001	840	762.001	639.999	712	537.001	742.001	106.001	664	139
ENSMUSG00000019087	Atp6ap1	511.999	1537.001	1150	2266	1264	3510	3604.999	2341.001	2107.001	2193	2112	1223	2480.001	300	1327	323
ENSMUSG00000019088	Dnase1l1	2	6	9	2	8	9	9	2	11	9	15	9	18	0	5	0
ENSMUSG00000019102	Aldh3a1	0	2	2	0	5	2	0	5	1	2	0	0	4	0	0	0
ENSMUSG00000019122	Ccl9	1	5	8	9	7	20	19	8	8	6	1	9	13	0	2	2
ENSMUSG00000019124	Scrn1	604	2632	1755	3206	1977	5660	5339	4139.999	3469	3806	3781	2483	4305	462	2204	476
ENSMUSG00000019132	BC005537	496	1473	1049	1490	1223	1777	1620	1107	1408	1886	1416	1503	1937	245	1454	401
ENSMUSG00000019139	Isyna1	48	251	187	219	222	578	478	436	354	354	247	259	331	48	177	34
ENSMUSG00000019143	Hars2	57	158	109	246.999	149.001	336.001	364	200	229	204	157	149.999	248	22.556	181	24
ENSMUSG00000019146	Cacng2	89	192	194	183	187	446	380	302	212	184	262	264	299	48	276	55.095
ENSMUSG00000019158	Tmem160	22	42	37	72	37	122	94	112	78	77	68	37	103	3	62	17
ENSMUSG00000019173	Rab5c	128	566	403	746	505	1193	1249	877	905	1050	913	476	1009	86	492	114
ENSMUSG00000019178	Styxl1	0	0	0	3	3	1	0	0	2	4	0	3	0	0	0	0
ENSMUSG00000019179	Mdh2	269	949.999	814	1062	791.999	2071	2173.999	1370	1298.001	1032.001	1057.999	979	1171	145	956.999	322
ENSMUSG00000019188	H13	140.999	458	282.999	418	335	667	833	466	506.999	476	426	350.001	499.999	53	414.001	98.001
ENSMUSG00000019189	Rnf145	206.001	816	617.999	891	592.001	1526.001	1496	1024.001	970	1129.001	1012	846.999	1198	137.001	809.999	148.999
ENSMUSG00000019194	Scn1b	248.999	446	381	975	425	1357.001	983	882	680	722	824	562	898	110	711	208
ENSMUSG00000019210	Atp6v1e1	406	1285	909	2070	917	2799	2410	2046	1923	2224	1861	1142	2167	247	1098	535
ENSMUSG00000019214	Chtf18	4	12	1	15	11	10	22.001	12	10	13.001	9	5	25	5.256	7	1
ENSMUSG00000019230	Lhx9	0	0	2	2	0	2	10	0	3	2	0	1	4	2	2	4
ENSMUSG00000019232	Etnppl	48	87	160	207	179.999	332	453.999	175	233.999	269	214.001	122.999	252	10	64	57.001
ENSMUSG00000019235	Rps6kl1	46	155	124	202	138	310	410	232	191	201	167	151	249	23	175	34
ENSMUSG00000019254	Ppp1r12c	154.999	572.001	478	832.999	546.999	1417.999	1372	896.001	920.001	1038	977.999	651	1138.999	130.998	617.001	109
ENSMUSG00000019256	Ahr	28	77	52	60	41	118	102	52	98	126	72	60	152	5	62	11
ENSMUSG00000019261	Map1s	157	311	274	302	256	533	571	438	438	393	276	286	359	53	364	58
ENSMUSG00000019278	Dpep1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000019295	Tmem129	44	121	110	168	87	294	264	168	210.999	239	143	122	175	23	121.001	32
ENSMUSG00000019297	Nop9	33	89	61	79	62	168	174	86	129	112	133	48	159	19	59	15.825
ENSMUSG00000019301	Hsd17b1	0	0	0	2	0	0	0	0	3	1	0	5	0	5	1	0
ENSMUSG00000019302	Atp6v0a1	1055	2593	1985	3010	2107	3747.001	4320	2764	2852.999	2719	2626	2723.999	2884.999	396	2858	651
ENSMUSG00000019303	Psmc3ip	7	22	18	37	20	50	37.001	52	33	54	28	28	10	4.096	15	8
ENSMUSG00000019312	Grb7	10	16	7	28	9	47	30	43	20	41	24	25	35	0	20	6
ENSMUSG00000019320	Noxo1	5	10	15	30	10	19.001	30.999	11	7	11	9	4	13	0.96	18.001	0
ENSMUSG00000019326	Aoc3	0	1	1	1.072	0	3	8	2	2.026	0	3	6	0	0	5.096	0
ENSMUSG00000019338	Zfp687	104	270.999	229	318	293	486.001	729	336.001	336	368.999	392	280	426.001	49	312	64.009
ENSMUSG00000019359	Gdpd2	7	12	28	20	34	43	66	24	28	20	9	7	15	10	15	8
ENSMUSG00000019362	D8Ertd738e	35	172	102	194	135	387	363	273	261	227	247	149	322	28	123	34
ENSMUSG00000019368	Sec14l4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000019370	Calm3	847	4125	4075.999	7031	3933	11474	10353	7640	7224	7365.999	7554.001	3659	8868	914	2807	1618
ENSMUSG00000019373	Cops3	143	393	269.001	596	293.999	818.999	793.998	692	567.999	683	553	351	675	94	323.999	186
ENSMUSG00000019428	Fkbp8	361.999	1538.001	1233	1881	1289	3452.999	3725	2559	2440	2683.999	2523	1434	2870.999	284	1134	375.923
ENSMUSG00000019429	Ffar3	1	0	2	3	0	5	0	4	2	0	0	0	1	0	0	1
ENSMUSG00000019432	Ddx39b	263	779	567.999	948	815	1600	1798.999	1276	1085	1091.999	1008	731	1204	109	660	167.001
ENSMUSG00000019433	Gipc1	57	168	125	246	125	371	380	330	264	256	248	178	348	25	145	43
ENSMUSG00000019437	Tlcd1	34	61	57	91	72	145.001	175	84.001	116	116	125	37	81	6.006	61.004	32.426
ENSMUSG00000019461	Plscr3	15	56	51	48	44	85	94	86.999	72	80.999	58	51	50	7	70	22
ENSMUSG00000019464	Ptger1	3	9	12	9	5	22	29	6	10	14	15	6	18	19.904	11	35.943
ENSMUSG00000019467	Arhgef25	71	145	143	402	193	618	403	325	265	284	238	182	480	31	180	65
ENSMUSG00000019470	Xab2	72	271	254.001	494	308.999	658	724	478.999	502.999	495	394	266	538	69	254	101.676
ENSMUSG00000019471	Cdc37	72	281	307	352	271	712	847	515	471	354	562	263	507	58	280	105
ENSMUSG00000019478	Rab4a	50	120	76	194	83	238	252	138	196	156	128	112	193	20	107	36
ENSMUSG00000019487	Trip10	2	9	12	10	12	15	20	14	28	13	5	11	9	0	5	8
ENSMUSG00000019489	Cd70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019494	Cops6	118	302	236.999	316	270	503.001	559	381	327.999	393	457	352	427	42	306	111.001
ENSMUSG00000019505	Ubb	1751.8	5483.199	4971.5	6362.004	4852.871	10521.308	12049.729	7789.97	8096.944	8114.011	9550.243	4640.29	8291.961	910.8	4621.776	1686.346
ENSMUSG00000019518	Ap4m1	52.999	186	124.001	252.999	111	362.999	415.001	295	203.001	224	207	189	244	22.697	148	23.382
ENSMUSG00000019528	Gyg	44	120	75	158	127	216.001	261.001	187	179.999	190	223	118	179	6	100	33.999
ENSMUSG00000019539	Rcn3	2	14	16	6	13	27	49	16	18	16	42	21	40.999	1	3	2
ENSMUSG00000019558	Slc6a8	189	471.001	300.001	548	320.001	809.001	686	549.999	562	637	668	553	662.999	94.001	506.001	84
ENSMUSG00000019564	Arid3a	17	61	30	51	50	113	63	63	71	63	41	63	72	17	58	12
ENSMUSG00000019577	Pdk4	28	58	51	56	29	121	133	51	95	108	66	72	60	5	60	11
ENSMUSG00000019578	Ubxn6	145	374	274	612	367	849	993	630	572.001	620.001	599.001	415.001	773.999	66.995	383.999	97.938
ENSMUSG00000019579	Mydgf	49	150	71	175	99	275	304	174	177	225	241	145	258	31	126	43
ENSMUSG00000019590	Cyb561	105	330	262	549.001	353	651.999	823	535	438	482	412	352	482	52	288.001	112
ENSMUSG00000019647	Sema6a	176.999	438.999	189	345.999	445	268.999	461	213.001	298	339	345	320	296.001	34.999	373.999	94
ENSMUSG00000019659	Ccdc12	21	110	91	177	76	236.001	268	135	179	120	212	115	185	27	102	20
ENSMUSG00000019689	1110001J03Rik	13	62	47	84	69	153	186	116	120	73	77	38	97	8	57	13
ENSMUSG00000019699	Akt3	424.001	1498	1198.001	2202	1124	3312	2473	2220	1986	2121	2398.999	1846	2795	279	1384	477
ENSMUSG00000019710	Mrpl24	59	207.001	169.001	272.999	224	419.999	456.001	317	326.423	327	281	196	290	26.459	171.464	45.75
ENSMUSG00000019715	Gle1	76	303	199.001	465	335.999	688	633	429.001	400	407	303	269	448.001	50	261.001	68
ENSMUSG00000019718	L3hypdh	1	19	7	35	9	20	18	8	12	18	19	5	41	3	8	5
ENSMUSG00000019726	Lyst	573	2276	1462	2657	1455	3156	2590	2402	2401	3139	2695	2380	3112	264	1934	390
ENSMUSG00000019731	Slc35e1	169	416	325	657	336	975	983	603	634	710	629	498	651	85	422	80
ENSMUSG00000019732	Calr3	0	4	3	2	3	10	1	0	2	10	7	11	13	3	4	0
ENSMUSG00000019734	Tmc4	15	28	21	38.001	42	59	124	29	42	29	19	47	27	3	49	6
ENSMUSG00000019737	Syne4	14	13.999	13.999	15	29	25	13	23	20.001	9	11	17	17	0	18	3
ENSMUSG00000019738	Polr2i	20	78	37	88	33	120.999	119.001	97.999	125	143.999	88.999	52	139	16	47	27.801
ENSMUSG00000019756	Prl8a1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000019761	Krt10	7	40	19	65	20	137	49	88	46	57	69	70	79	3	50	18
ENSMUSG00000019762	Iyd	0	1	0	4	0	2	7	0	0	1	0	0	1	0	0	0
ENSMUSG00000019763	Rmnd1	64	206	117	202	151	334.001	335.999	258	244.999	290	240.002	201.999	261	63	209.001	52
ENSMUSG00000019767	Ccdc170	0	2	5	0	6	9	22	5	7	10	0	17	0	0	4	2
ENSMUSG00000019768	Esr1	5	25	37	38	41	46	153	23	44	47	46	10	26	4	14	12
ENSMUSG00000019772	Vip	9	22	22	94	20	17	48	19	22	33	18	21	41	12	26	28
ENSMUSG00000019773	Fbxo5	4	16	8	17	13	22	47	26	18	14	15	10	7	1	4	3
ENSMUSG00000019774	Mtrf1l	15	95	55	85	85	113	131.999	91	81	76	92	58	100	17	41	9
ENSMUSG00000019775	Rgs17	370	1371	780	1359.999	1051.001	1771	1939	1095	1176.999	1449	1446	884	1493	167	993	251
ENSMUSG00000019777	Hdac2	137	558	364.001	632	377	1089.999	992	695	709	864	893	496	984	105	439	194
ENSMUSG00000019779	Frk	0	4	2	8	4	9	11	3	1	3	6	5	7	0	6	2
